rider_name,year,uci_points
greg van avermaet,2017,4132.3
peter sagan,2017,3359.0
alexander kristoff,2017,2985.0
christopher froome,2017,2862.0
tom dumoulin,2017,2848.0
vincenzo nibali,2017,2679.0
alejandro valverde,2017,2596.0
michal kwiatkowski,2017,2529.7
michael matthews,2017,2333.0
philippe gilbert,2017,2298.3
dan martin,2017,2243.3
alberto contador,2017,2145.0
nairo quintana,2017,2064.0
thibaut pinot,2017,2064.0
diego ulissi,2017,2055.0
elia viviani,2017,2046.0
rigoberto uran,2017,1930.0
tim wellens,2017,1896.0
arnaud demare,2017,1857.0
richie porte,2017,1822.0
ilnur zakarin,2017,1757.0
primoz roglic,2017,1736.0
andre greipel,2017,1664.0
bauke mollema,2017,1664.0
matteo trentin,2017,1662.0
fabio aru,2017,1574.0
julian alaphilippe,2017,1550.0
sonny colbrelli,2017,1541.0
nacer bouhanni,2017,1538.0
romain bardet,2017,1534.0
mikel landa,2017,1520.0
fernando gaviria,2017,1514.0
michael albasini,2017,1510.0
jasper stuyven,2017,1464.0
domenico pozzovivo,2017,1410.0
sergio luis henao,2017,1404.0
oliver naesen,2017,1373.0
john degenkolb,2017,1370.0
ion izagirre,2017,1359.0
dylan teuns,2017,1338.0
dylan groenewegen,2017,1311.0
tony gallopin,2017,1310.0
marcel kittel,2017,1289.0
rafal majka,2017,1270.0
alexis vuillermoz,2017,1240.0
edvald boasson hagen,2017,1223.0
rui costa,2017,1192.0
simon yates,2017,1182.0
adam yates,2017,1156.0
wilco kelderman,2017,1139.0
tiesj benoot,2017,1071.0
marco canola,2017,1056.0
gianni moscon,2017,1050.0
rohan dennis,2017,1048.0
wout poels,2017,1032.7
sep vanmarcke,2017,1021.0
jean pierre drucker,2017,997.0
jasper de buyst,2017,960.0
egan bernal,2017,954.0
fabio felline,2017,952.0
jakob fuglsang,2017,910.0
jens keukeleire,2017,898.0
warren barguil,2017,897.0
lilian calmejane,2017,869.0
nathan haas,2017,850.0
simon spilak,2017,849.0
sam bennett,2017,841.0
zdenek stybar,2017,833.3
damiano caruso,2017,820.0
geraint thomas,2017,806.0
niki terpstra,2017,794.3
jesus herrada lopez,2017,784.0
francesco gavazzi,2017,780.0
mattia cattaneo,2017,766.0
luke durbridge,2017,765.0
louis meintjes,2017,758.0
steven kruijswijk,2017,752.0
caleb ewan,2017,748.0
bob jungels,2017,739.0
nicolas roche,2017,719.3
tejay van garderen,2017,712.0
kenny dehaes,2017,706.0
sacha modolo,2017,697.0
julien simon,2017,695.0
miguel angel lopez,2017,692.0
wout van aert,2017,691.0
edward theuns,2017,688.0
jan bakelants,2017,688.0
giovanni visconti,2017,686.0
aleksey lutsenko,2017,683.0
arthur vichot,2017,678.0
michael woods,2017,670.0
gorka izagirre,2017,669.0
tom jelte slagter,2017,669.0
petr vakoc,2017,665.0
jonathan castroviejo,2017,662.0
laurent pichon,2017,660.0
rudy barbier,2017,647.0
johan esteban chaves,2017,644.0
silvan dillier,2017,640.0
david de la cruz,2017,636.3
magnus cort nielsen,2017,631.0
michael valgren andersen,2017,610.0
benjamin prades reverter,2017,607.0
lucas hamilton,2017,604.0
yves lampaert,2017,600.3
marc soler,2017,587.0
coen vermeltfoort,2017,580.0
joeri stallaert,2017,577.0
mauro finetto,2017,575.0
timothy dupont,2017,573.0
august jensen,2017,571.0
carlos barbero,2017,570.0
emanuel buchmann,2017,569.0
ben hermans,2017,568.3329999446869
jai hindley,2017,566.0
brent bookwalter,2017,560.0
george bennett,2017,560.0
roy jans,2017,558.0
xandro meurisse,2017,555.0
stefan kung,2017,548.3
sylvain chavanel,2017,547.0
romain hardy,2017,544.0
maxime vantomme,2017,543.0
justin jules,2017,537.0
jos van emden,2017,529.0
bert van lerberghe,2017,520.0
luis leon sanchez,2017,517.0
guillaume martin,2017,514.0
dylan van baarle,2017,509.0
jose joaquin rojas,2017,508.0
simon gerrans,2017,506.0
jay mccarthy,2017,505.0
moreno hofland,2017,503.0
lukas postlberger,2017,492.0
taco van der hoorn,2017,489.0
raul alarcon,2017,488.0
jakub mareczko,2017,486.0
david gaudu,2017,485.0
alberto bettiol,2017,482.0
matej mohoric,2017,482.0
benjamin thomas 2,2017,475.0
lars boom,2017,475.0
ben swift,2017,470.0
mads pedersen,2017,464.0
jonathan hivert,2017,456.0
pierre latour,2017,454.0
sam oomen,2017,452.0
benoit cosnefroy,2017,451.0
mikel nieve,2017,447.0
sander armee,2017,442.0
alexandre geniez,2017,440.0
andrea pasqualon,2017,440.0
oscar sevilla,2017,439.0
soren kragh andersen,2017,439.0
luka mezgec,2017,435.0
patrick konrad,2017,434.0
michael storer,2017,428.0
serghei tvetcov,2017,424.0
jens debusschere,2017,423.0
daniel mclay,2017,416.0
jan polanc,2017,416.0
mathias frank,2017,414.0
rasmus guldhammer,2017,413.0
sebastian langeveld,2017,412.0
tony martin,2017,409.0
josef cerny,2017,407.0
victor campenaerts,2017,407.0
jack haig,2017,402.0
luke rowe,2017,402.0
mathieu van der poel,2017,400.0
richard carapaz,2017,399.0
flavien dassonville,2017,397.0
huub duijn,2017,397.0
amaro manuel antunes,2017,394.0
baptiste planckaert,2017,392.0
nikias arndt,2017,392.0
cameron meyer,2017,391.0
willie smit,2017,390.0
bjorg lambrecht,2017,387.0
ariel maximiliano richeze,2017,384.0
tao geoghegan hart,2017,382.0
robert gesink,2017,379.0
frederik backaert,2017,378.0
vitaliy buts,2017,374.0
jhonatan restrepo,2017,372.0
manuel senni,2017,371.3
amund grondahl jansen,2017,370.0
jan tratnik,2017,370.0
rick zabel,2017,369.0
wouter wippert,2017,366.0
phil bauhaus,2017,365.0
guillaume boivin,2017,364.0
christophe laporte,2017,360.0
tom boonen,2017,358.0
yevgeniy gidich,2017,358.0
clement venturini,2017,356.0
jesper hansen 1,2017,352.0
adrien petit,2017,351.0
andriy vasylyuk,2017,348.0
ruben guerreiro,2017,348.0
rudiger selig,2017,348.0
marc sarreau,2017,347.0
rob britton,2017,347.0
adam blythe,2017,345.0
reinardt janse van rensburg,2017,343.0
merhawi kudus,2017,341.0
meron abraham,2017,341.0
jerome baugnies,2017,339.0
thomas boudat,2017,339.0
marek rutkiewicz,2017,336.0
