rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,in_top20_next_year,result_milano-sanremo,result_cyclassics-hamburg,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_gp-quebec,result_gp-montreal,result_ronde-van-vlaanderen,result_paris-roubaix,result_e3-harelbeke,result_gent-wevelgem,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne
adam-yates,2014,14.0,81.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.2142857142857142,0.0182926829268292,0.1097560975609756,0.1280487804878048,0.20731707317073167,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.037037037037037,0.1234567901234567,0.1604938271604938,0.2592592592592592,1028.0,64.0,30.999999999999996,612.0,1092.0,642.9999999999998,22.0,5.999999999999999,19.37919743392696,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.1739130434782608,0.0209790209790209,0.1258741258741259,0.1468531468531468,0.2377622377622377,28.0,164.0,23.0,143.0,575.9305513688261,344.73806481636655,0.0412393049421161,0.0412393049421161,0.0824786098842322,0.10910894511799608,0.0213833433033194,0.0766217527145953,0.0874284237904124,0.1415415883441002,0.0357142857142857,0.018518518518518497,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.061728395061728315,0.08024691358024691,0.12962962962962962,0.0,41.0,63.0,43.0,47.0,20.0,28.000000000000004,97.0,68.0,43.0,5.999999999999999,51.00000000000001,30.999999999999996,108.0,81.00000000000001,24.0,153.0,33.0,54.0,82.0,48.0,28.0,125.99999999999999,23.0,76.0,66.0,6.000000000000001,8.0,21.0
adam-yates,2015,9.0,67.0,0.054054054054054,0.081081081081081,0.1351351351351351,0.2162162162162162,0.0173160173160173,0.1082251082251082,0.1255411255411255,0.2164502164502164,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.014925373134328299,0.10447761194029852,0.1194029850746268,0.2388059701492537,64.0,56.0,612.0,680.0,382.66666666666674,441.00000000000006,23.0,7.0,19.37919743392696,0.0666666666666666,0.1,0.1333333333333333,0.2,0.0195121951219512,0.12195121951219512,0.1414634146341463,0.2439024390243902,37.0,231.00000000000003,30.0,205.0,558.8893748617281,356.6945471968979,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.0437108773594135,0.018634352489547,0.0179467292391966,0.0205467350241734,0.0158448376086091,0.05555555555555547,0.007462686567164105,0.11111111111111116,0.11111111111111116,0.03968253968253954,-0.017936632626341906,-0.010473946059177725,0.005367897355328588,0.0,15.0,8.0,56.0,55.99999999999999,19.0,13.0,17.0,116.00000000000001,1.0,56.0,32.0,2.0,30.000000000000004,50.0,24.0,21.0,50.0,40.0,126.0,114.0,73.0,9.0,3.0000000000000004,14.0,8.0,20.0,129.0,20.0
adam-yates,2016,12.000000000000002,60.0,0.0408163265306122,0.0612244897959183,0.1020408163265306,0.2040816326530612,0.0171821305841924,0.1030927835051546,0.1305841924398625,0.2371134020618556,0.0,0.0,0.0,0.1666666666666666,0.0166666666666666,0.0833333333333333,0.15,0.3166666666666666,56.0,54.0,680.0,734.0,58.00000000000004,675.3333333333334,24.0,8.0,19.37919743392696,0.0571428571428571,0.0857142857142857,0.1142857142857142,0.2,0.024038461538461505,0.1057692307692307,0.1442307692307692,0.2692307692307692,49.00000000000001,291.0,35.0,208.0,5.291502622129181,61.133733186624006,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.0300471341047633,0.012294373867330302,0.02007146194271,0.0213492975456004,0.0403654875746476,-0.0357142857142857,-0.010185185185185092,-0.0357142857142857,-0.0714285714285714,-0.02380952380952378,-0.02006172839506169,-0.005246913580246883,0.02870370370370373,0.0,45.0,107.0,56.0,22.0,19.0,51.0,25.0,109.0,16.0,47.00000000000001,72.0,79.0,20.0,14.0,34.0,24.0,4.0,16.0,20.0,9.0,37.0,19.0,29.000000000000004,32.0,7.0,7.0,25.0,5.0
adam-yates,2017,6.000000000000001,81.0,0.0545454545454545,0.0909090909090909,0.1272727272727272,0.2545454545454545,0.0134408602150537,0.0940860215053763,0.1344086021505376,0.2526881720430107,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0617283950617283,0.1481481481481481,0.3086419753086419,54.0,45.0,734.0,950.0000000000001,51.66666666666666,788.0,25.0,9.0,19.37919743392696,0.074074074074074,0.1481481481481481,0.1481481481481481,0.2962962962962963,0.0096153846153846,0.0817307692307692,0.1394230769230769,0.2884615384615384,55.0,372.0,27.0,208.0,5.859465277082316,142.8705707974879,0.0848625128695525,0.1697250257391051,0.1697250257391051,0.2740490479064582,0.009161301255302701,0.0213750221023661,0.0171556165620671,0.0428247423619226,0.02777777777777768,-0.007462686567164105,0.05555555555555547,0.05555555555555547,0.2222222222222222,-0.021374608439285004,0.014372581536760583,0.03491800257969406,0.0,100.99999999999999,2.0,8.0,74.0,7.0,15.0,14.0,22.000000000000004,10.0,23.999999999999996,1.0,25.0,13.999999999999998,7.0,1.0,21.0,42.0,9.0,34.0,6.0,59.0,3.0,4.0,3.0,5.0,3.0000000000000004,6.0,5.0
adam-yates,2018,4.0,89.0,0.0508474576271186,0.0847457627118644,0.1186440677966101,0.2372881355932203,0.0151843817787418,0.0976138828633405,0.1518438177874186,0.2646420824295011,0.0,0.0,0.0,0.0,0.0224719101123595,0.1123595505617977,0.22471910112359553,0.3146067415730337,45.0,41.0,950.0000000000001,958.0,46.6666666666667,880.6666666666669,26.0,10.0,19.37919743392696,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.013043478260869499,0.0869565217391304,0.1782608695652174,0.3130434782608696,59.0,461.0,22.0,230.0,6.658328118479393,127.08002727940114,0.0962250448649376,0.1924500897298752,0.1924500897298752,0.3469443332443554,0.0116652287685776,0.0254060640779128,0.0436834909082128,0.0041676811972558,0.0,0.002902621722846408,0.0,0.0,-0.08333333333333331,0.014513108614232195,0.0373595505617977,-0.0010299625468163627,1.0,33.0,69.0,116.0,29.0,55.0,29.0,77.0,91.0,7.0,65.0,97.0,30.999999999999996,8.0,7.0,3.0,112.0,29.0,2.0,45.00000000000001,49.0,4.0,5.0,30.0,18.0,13.999999999999998,2.0,7.0,7.0
adam-yates,2019,9.0,85.0,0.0441176470588235,0.088235294117647,0.1323529411764706,0.2352941176470588,0.0274725274725274,0.1117216117216117,0.1776556776556776,0.293040293040293,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0941176470588235,0.188235294117647,0.3176470588235294,0.44705882352941173,41.0,20.0,958.0,1306.0,35.33333333333336,1071.3333333333333,27.0,11.0,19.37919743392696,0.0526315789473684,0.1578947368421052,0.2105263157894736,0.3157894736842105,0.0392156862745098,0.1215686274509803,0.2313725490196078,0.3568627450980392,68.0,546.0,19.0,255.0,13.428824718989125,203.26665573412015,0.0962250448649376,0.1697250257391051,0.1697250257391051,0.33945005147821034,0.0491532126020079,0.0636718643726955,0.0848808938866591,0.0782499801091982,-0.08333333333333331,0.0470588235294117,-0.1111111111111111,-0.05555555555555547,-0.2222222222222222,0.06325344952795935,0.0847494553376906,0.06920842411038493,0.0,15.0,14.0,4.0,15.000000000000002,6.000000000000001,21.0,7.0,34.00000000000001,20.0,47.99999999999999,21.0,14.0,99.0,65.0,86.0,12.0,29.0,5.0,3.0000000000000004,3.0,21.000000000000004,2.0,2.0,5.0,4.0,9.0,4.0,11.0
adam-yates,2020,1.0,37.0,0.0434782608695652,0.0869565217391304,0.1304347826086956,0.2318840579710145,0.0291595197255574,0.11149228130360202,0.1749571183533447,0.2950257289879931,0.0,0.0,0.0,0.0,0.054054054054054,0.1081081081081081,0.1351351351351351,0.3243243243243243,20.0,38.0,1306.0,690.0,32.99999999999996,984.6666666666665,28.0,11.999999999999998,19.37919743392696,0.0,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0568720379146919,0.1421800947867298,0.2464454976303317,0.3696682464454976,69.0,583.0,14.000000000000002,211.0,11.357816691600549,308.86458737338813,0.0,0.0641500299099584,0.1283000598199168,0.1283000598199168,0.0359064407476978,0.0450843083583362,0.0912610674319746,0.0738260824779324,0.0,0.015791071970847195,0.0,0.0,0.0,-0.0021257212268447913,-0.044791982994230095,0.004858791375645334,1.0,25.000000000000004,49.0,47.0,38.0,61.99999999999999,29.0,3.0,26.000000000000004,12.0,65.0,97.0,30.999999999999996,90.0,90.00000000000001,11.0,16.0,9.0,1.0,8.0,49.0,14.0,5.0,34.0,29.0,1.0,17.0,29.0,64.0
adam-yates,2021,7.0,60.0,0.0394736842105263,0.1052631578947368,0.1578947368421052,0.2631578947368421,0.0295489891135303,0.1119751166407465,0.1835147744945567,0.3048211508553655,0.0,0.2857142857142857,0.4285714285714285,0.5714285714285714,0.0333333333333333,0.11666666666666661,0.2666666666666666,0.4,38.0,9.0,690.0,1500.0,22.33333333333333,1165.3333333333333,29.0,13.0,19.37919743392696,0.0,0.1764705882352941,0.2941176470588235,0.3529411764705882,0.0659340659340659,0.1483516483516483,0.2637362637362637,0.4065934065934066,76.0,643.0,17.0,182.0,14.6401275039985,422.9247371972148,0.0,0.1440281226329756,0.2143346994764983,0.2880562452659513,0.0309008428868769,0.043999400180806905,0.0941719583704335,0.0619207801093003,0.0,-0.030392156862744987,0.08730158730158732,0.10317460317460314,0.17460317460317465,-0.03578431372549009,-0.02549019607843129,-0.023529411764705792,0.0,50.00000000000001,35.0,17.999999999999996,3.0,32.0,32.0,20.0,34.00000000000001,27.0,47.99999999999999,21.0,14.0,98.0,2.0,2.0,21.0,4.0,17.0,4.0,2.0,3.0,31.0,1.0,4.0,5.0,9.0,6.0,5.0
adriano-malori,2010,8.0,72.0,0.18749999999999997,0.375,0.4583333333333333,0.5208333333333334,0.0158730158730158,0.0634920634920634,0.0873015873015873,0.1111111111111111,0.0,0.125,0.125,0.125,0.0,0.0416666666666666,0.0416666666666666,0.0694444444444444,956.9999999999999,313.0,35.0,188.0,628.6666666666665,103.99999999999997,22.0,5.999999999999999,20.52892162782273,0.1944444444444444,0.3611111111111111,0.3888888888888889,0.4444444444444444,0.010752688172043001,0.05376344086021499,0.053763440860215,0.086021505376344,48.0,126.0,36.0,93.0,322.1867988191529,77.59510293826537,0.19690898442719199,0.2253469547164993,0.2188326563415101,0.2843832670756009,0.0412393049421161,0.0734663038951334,0.0734663038951334,0.1093312182166099,-0.1875,0.0,-0.2187499999999999,-0.2187499999999999,-0.28125,0.02083333333333333,0.02083333333333328,0.03472222222222224,0.0,4.0,88.00000000000001,88.00000000000001,61.99999999999999,19.0,20.0,43.00000000000001,75.0,80.0,5.999999999999999,46.0,76.0,60.00000000000001,41.0,90.0,64.0,167.0,60.0,104.0,18.0,12.0,101.99999999999999,77.0,44.0,42.0,89.0,84.0,44.0
adriano-malori,2011,10.0,91.0,0.1724137931034483,0.32758620689655177,0.396551724137931,0.4482758620689655,0.0138248847926267,0.0552995391705069,0.0783410138248847,0.1059907834101382,0.1,0.1,0.1,0.1,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.09890109890109888,313.0,287.0,188.0,199.0,519.0000000000001,140.66666666666669,23.0,7.0,20.52892162782273,0.0666666666666666,0.1666666666666666,0.2,0.2,0.0112994350282485,0.0508474576271186,0.06214689265536719,0.096045197740113,58.0,217.0,30.0,177.0,379.5418290518188,91.67515112250065,0.0535758375610719,0.0803637563416079,0.1281094728622245,0.1281094728622245,0.0384615384615384,0.0577728036995975,0.05282925152818949,0.0765509605953945,0.008333333333333304,-0.030219780219780206,-0.07500000000000001,-0.11666666666666659,-0.11666666666666659,-0.0494505494505494,-0.03846153846153839,-0.057692307692307584,0.0,56.0,88.00000000000001,113.0,36.0,42.0,7.000000000000001,61.0,120.0,78.0,136.0,86.0,28.0,43.0,102.00000000000001,71.0,12.0,91.0,68.0,72.0,21.0,25.000000000000004,80.0,127.0,58.0,85.0,104.0,104.0,45.0
